Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Boys Be... Kono Koi no Yukue		Kodansha	1997-03-28	Unreleased	Unreleased	
BRAHMA Force: The Assault on Beltlogger 9	Genki Co., Ltd	JVC	1996-11-15	1998-03-01	1997-03-31	
Brain Dead 13	ReadySoft	ReadySoft NA|Coconuts Japan JP	1996-10-18	Unreleased	1996-03-06	
Bratz	Ubisoft (PAL), D.C. Studios Inc.	Ubisoft	Unreleased	2003-05-02	2003-03-12	
Brave Fencer Musashi|Brave Fencer Musashiden JP	Square	Square EA	1998-07-16	Unreleased	1998-10-31	
Brave Prove	DataWest	DataWest	1998-04-15	Unreleased	Unreleased	
Brave Saga 2	Takara	Takara	2000-05-02	Unreleased	Unreleased	
Brave Sword	Sammy Studios	Sammy Studios	2000-10-19	Unreleased	Unreleased	
Bravo Air Race	Xing Entertainment	THQ	1997-07-31	1997-12-01	1997-09-30	
Breakout	Supersonic Software Ltd	Hasbro Interactive	Unreleased	2000-10-06	2000-09-22	
Break Point	Smart Dog	Ocean PAL|Konami JP	1997-09-18	1996-12-01	Unreleased	
BreakThru!	Shoeisha	Shoeisha	1995-12-01	Unreleased	Unreleased	
Breath of Fire III	Capcom	Infogrames	1997-09-11	1998-10-08	1998-04-30	
Breath of Fire IV	Capcom	CE Europe Ltd.	2000-04-27	2001-08-03	2000-11-28	
Brian Lara Cricket '99|Shane Warne Cricket AU, NZ	Codemasters	Codemasters	Unreleased	1998-12-08	Unreleased	
Brigandine: Legend of Forsena	Hearty Robin	Hearty Robin JP|Atlus NA	1998-04-02	Unreleased	1998-10-31	
Broken Helix	Konami	Konami	1998-03-26	1998-02-01	1997-05-31	
Broken Sword: The Shadow of the Templars	Revolution Software	THQ	Unreleased	Unreleased	1998-01-31	
Broken Sword: The Smoking Mirror	Revolution Software	SCEE	Unreleased	1997-11-14	1999-11-30	
Brunswick Circuit Pro Bowling	Adrenalin Entertainment	THQ	Unreleased	1998-11-01	1998-09-30	
Brunswick Circuit Pro Bowling 2	Adrenalin Entertainment	THQ	Unreleased	2000-03-01	2000-01-31	
Bubble Bobble featuring Rainbow Islands	Probe Entertainment	Acclaim	Unreleased	1996-10-01	1996-01-01	
Bubsy 3D	Eidetic Inc	Accolade	Unreleased	1997-08-01	1996-11-25	
Bug Riders	GT Interactive	n-Space	Unreleased	Unreleased	1997-11-01	
A Bug's Life	Traveller's Tales	SCEA NA|SCEE PAL|Konami JP	1999-02-01	1998-10-28	1998-11-18	
A Bug's Life Activity Centre	Disney Interactive Studios	SCEE	Unreleased	1999-12-01	Unreleased	
Buggy	Gremlin Interactive	Gremlin Interactive, Zoo Digital (2003 Re-Release)	Unreleased	1998-07-01	Unreleased	
Bugs Bunny: Lost in Time	Behaviour Interactive	Infogrames	Unreleased	1999-06-29	1999-05-31	
Bugs Bunny & Taz: Time Busters	Behaviour Interactive	Infogrames	Unreleased	2000-11-24	2000-11-24	
Builder's Block	Taito Corporation	Jaleco	1999-12-09	2000-09-30	2000-07-12	
Burning Ace		Midas Interactive	Unreleased	Unreleased	Unreleased	
Burning Road	Toka JP	Funsoft	1997-01-31	Unreleased	1996-09-30	
Burstrick Wake Boarding!!	Metro	Metro JP|JVC Digital Studios PAL|Natsme NA	2000-07-06	2001-01-01	2001-02-28	
Bushido Blade	Square	Sony Computer Entertainment	1997-03-14	1998-02-01	1997-09-30	
Bushido Blade 2	Square|Light Weight	Square, Square EA	1998-03-19	Unreleased	1998-02-28	
Bust a Groove|Bust a Move JP	Metro Graphics	SCEE	1998-01-29	1998-11-25	1998-10-31	
Bust a Groove 2|Bust a Move 2 JP	Metro Graphics	SCEE	1999-04-15	Unreleased	1999-03-31	
Bust-A-Move 2|Puzzle Bobble 2 JP	Taito	Taito	Unreleased	Unreleased	1998-10-31	
Bust-A-Move 2: Arcade Edition	Taito	Acclaim	Unreleased	1996-08-01	1996-03-29	
Bust-A-Move 3	Taito	Acclaim	Unreleased	1998-02-01	Unreleased	
Bust-A-Move 4|Puzzle Bobble 4 JP	Taito	Acclaim	1998-08-06	1999-04-15	1998-10-31	
Bust-A-Move '99|Puzzle Bobble 3 JP	Taito	Acclaim	1997-11-06	1998-02-27	1999-02-28	
Buster Bros. Collection	Mitchell Corporation	Atari	Unreleased	1998-06-01	1997-03-31	
Buttsubushi	Phoenix Games PAL|Selen JP	Phoenix Games PAL|Selen JP	2001-03-15	2003-01-01	Unreleased	
Buzz Lightyear of Star Command	Traveller's Tales	Activision	Unreleased	2001-02-09	2000-09-26	
C-12: Final Resistance	SCE Studio Cambridge	SCEE	Unreleased	2001-04-06	2002-07-22	
C3 Racing [134]|Max Power Racing	Eutechnyx	Infogrames	Unreleased	1998-01-01	Unreleased	
The Contra Adventure	Appaloosa Interactive	Konami	Unreleased	Unreleased	1998-08-31	
Cabela's Big Game Hunter: Ultimate Challenge	Coresoft	Activision	Unreleased	Unreleased	2001-12-04	
Cabela's Ultimate Deer Hunt: Open Season	Coresoft	Activision	Unreleased	Unreleased	2002-10-30	
Cadillac	Hect	Hect	1999-05-27	Unreleased	Unreleased	
Caesars Palace	Interplay	Interplay	Unreleased	1998-01-01	1997-10-31	
Caesar's Palace 2000	Runecraft	Interplay Entertainment Corp.	Unreleased	Unreleased	2000-06-29	
Caesar's Palace II	Runecraft	Interplay Entertainment Corp.	Unreleased	Unreleased	1998-10-01	
Calamity Adventure 1: The Natural World	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
Calamity Adventure 2: People and Traditions	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
Calamity Adventure 3: Around the World	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
California Surfing		Midas Interactive	Unreleased	2001-12-13	Unreleased	
California Watersports	Theyer GFX	Midas Interactive	Unreleased	2001-03-30	Unreleased	
Cali's Geo Tools	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
Capcom Generations (4 CDs with 13 classic games)	Capcom	Virgin Interactive	1998-01-01	1998-01-01	Unreleased	
Capcom VS SNK: Pro	Capcom	Capcom	2002-04-18	2002-07-12	2002-08-14	
Captain Commando	New	New	1998-09-17	Unreleased	Unreleased	
Captain Tsubasa: Aratanaru Densetsu Joshou	WinkySoft	Konami	2002-05-16	Unreleased	Unreleased	
Captain Tsubasa J: Get in the Tomorrow	Bandai	Bandai	1995-05-03	Unreleased	Unreleased	
Car & Driver Presents: Grand Tour Racing '98|Total Drivin PAL	Eutechnyx	Activision NA|Ocean Software PAL|Atlus JP	1998-04-23	1997-11-01	1997-09-30	
Card Games	Amedio	JP  D3|NA  Agetec Inc.	2000-10-26	Unreleased	2001-08-28	
Card Shark|Trump Shiyouyo! JP		Midas Interactive PAL|Bottom Up JP	1998-10-15	2001-02-16	Unreleased	
Animetic Story Game 1: Cardcaptor Sakura	Arika	Arika	1999-08-05	Unreleased	Unreleased	
Tetris with Cardcaptor Sakura: Eternal Heart	Arika	Arika	2000-08-10	Unreleased	Unreleased	
Cardcaptor Sakura: Clow Card Magic	Arika	Arika	2000-01-27	Unreleased	Unreleased	
Cardinal Syn	Kronos Digital Entertainment	SCEE	Unreleased	1998-06-01	1998-06-30	
Cargo!			Unreleased	Unreleased	Unreleased	
Carmageddon	SCi	Ubisoft	Unreleased	1999-10-01	Unreleased	
Carnage Heart	Artdink	SCEE PAL|SCEA NA|Artdink JP	1995-12-08	1997-05-01	1997-01-31	
Carnage Heart EZ: Easy Zapping	Artdink	Artdink	1997-07-24	Unreleased	Unreleased	
CART World Series	SCEA	SCEE	Unreleased	1998-03-28	1997-09-16	
Casper	Funcom	Interplay	Unreleased	1996-10-01	1996-08-31	
Casper - Friends Around the World	Realtime Associates	Sound Source	Unreleased	2000-12-15	2000-11-16	
Castlevania Chronicles|Castlevania Chronicle: Akumajou Dracula JP	Konami Digital Entertainment	Konami	2001-05-24	2001-11-09	2001-10-08	
Castlevania: Symphony of the Night|Akumajou Dracula X: Nocturne in the Moonlight JP	Konami Deutschland GmbH	Konami	1997-03-20	1997-11-01	1997-10-02	
Castrol Honda Superbike Racing	Midas Interactive Entertainment	NA  Electronic Arts|PAL  THQ|JP  Success	2000-05-25	1999-01-01	1999-04-30	
Castrol Honda VTR	Interactive Entertainment	Midas Interactive PAL|Success JP	2001-10-25	2001-02-09	Unreleased	
Catan - Die erste Insel (German)	Similis	Ravensburger Interactive Media GmbH	Unreleased	2001-03-01	Unreleased	
The Cat in the Hat	NewKidCo	DC Studios	Unreleased	Unreleased	2004-04-23	
Cat the Ripper: Jyusanninme no Tanteishi	Tonkin House	Tonkin House	1997-07-17	Unreleased	Unreleased	
Celebrity Deathmatch	Big Ape Productions	Gotham Games	Unreleased	Unreleased	2003-10-21	
Centipede	Leaping Lizard Software	Atari	Unreleased	1999-11-22	1999-04-30	
Championship Bass	EA Seattle	Electronic Arts	Unreleased	2000-01-01	2000-02-29	
Championship Manager Quiz	King of the Jungle	Eidos Interactive	Unreleased	2001-11-30	2001-10-12	
Championship Motocross featuring Ricky Carmichael	Funcom Dublin	THQ	Unreleased	1999-01-01	1999-07-31	
Championship Motocross 2001 featuring Ricky Carmichael	Funcom Dublin	THQ	Unreleased	2001-04-06	2001-01-30	
Championship Surfer	Krome Studios	Mattel	Unreleased	2001-10-19	2000-12-04	
Chaos Break	Eon	Taito Corporation JP|Eon PAL	2000-01-27	2000-12-08	Unreleased	
Charumera	Bits Laboratory	Victor Interactive Software	1999-11-25	Unreleased	Unreleased	
Chase the Express	Sugar & Rockets Inc.|Tyo Entertainment	SCEE	2000-01-01	2000-01-01	2000-01-01	
Checkmate	Altron	Midas Interactive PAL|Altron JP	1998-06-18	2001-04-12	Unreleased	
Checkmate 2	Phoenix Games	Phoenix Games	Unreleased	2003-05-02	Unreleased	
Cheesy	CTA Developments	Ocean Software PAL|Jaleco JP	1997-07-24	1996-11-15	Unreleased	
Chess	Success	A1 Games NA|Success JP	2001-11-29	Unreleased	2001-01-01	
Chessmaster II|Chessmaster Millinnium PAL	Starsphere Interactive	Mindscape	Unreleased	Unreleased	1999-05-31	
Chessmaster 3D	Mindscape	Mindscape	Unreleased	Unreleased	1996-01-01	
Chicken Run	Blitz Games	Eidos Interactive	Unreleased	2000-11-24	2000-11-13	
Chill	Silicon Dreams Studio	Eidos Interactive	Unreleased	1998-04-01	Unreleased	
China: The Forbidden City	Cryo Interactive|Canal+Multimedia|Réunion des Musées Nationaux	Cryo Interactive	Unreleased	1999-01-01	Unreleased	
Chō Aniki: Kyūkyoku Muteki Ginga Saikyō Otoko	Pre-Stage	Masaya	1995-12-29	Unreleased	Unreleased	
Chocobo Collection	Square|ParityBit|Denyusha Co.	Square	1999-12-22	Unreleased	Unreleased	
Chocobo Racing	Square Co	SCEE	1999-03-18	1999-10-11	1999-08-10	
Chocobo's Mysterious Dungeon 2 NA|Chokobo no Fushigi na Danjon 2 JP	SquareSoft	Square EA	1998-12-23	Unreleased	1999-11-30	
Chocobo no Fushigi na Dungeon	Square	Square	1997-12-23	Unreleased	Unreleased	
Choro Q JP|Penny Racers PAL	Tamsoft	Takara JP|SCEE PAL	1996-03-22	1996-10-01	Unreleased	
Choro Q 2	Takara	Takara	1997-02-21	Unreleased	Unreleased	
Choro Q 3	Takara	Takara	1998-02-19	Unreleased	Unreleased	
Choro Q Marine: Q-Boat	Takara	Takara	1998-06-25	Unreleased	Unreleased	
Chris Kamara's Street Soccer	Pixel Storm	Midas Interactive	Unreleased	2000-08-25	Unreleased	
Chronicles of the Sword	Synthetic Dimensions	Psygnosis	Unreleased	Unreleased	1996-11-01	
Chrono Cross	SquareSoft	SquareSoft JP|Square EA NA	1999-11-18	Unreleased	2000-08-15	
Chrono Trigger	SquareSoft	SquareSoft	1999-11-02	Unreleased	Unreleased	
Cill	Gaines Plix	Gaines Plix	Unreleased	Unreleased	1999-11-30	
Cill 2	Gaines Plix	Gaines Plix	Unreleased	Unreleased	2002-04-30	
Cill Vantage	Gaines Plix	Gaines Plix	Unreleased	Unreleased	2000-11-28	
Cindy's Caribbean Holiday	Phoenix Games	Phoenix Games	Unreleased	2003-01-01	Unreleased	
Cindy's Fashion World	Phoenix Games	Phoenix Games	Unreleased	2003-01-01	Unreleased	
Circuit Breakers	Supersonic	Mindscape	Unreleased	Unreleased	1998-07-31	
The City of Lost Children	Psygnosis	Psygnosis	Unreleased	1997-06-01	2000-08-15	
Civilization II	Alpha Unit	Human Entertainment JP|Activision PAL,NA	1998-12-23	1999-01-01	1998-12-31	
Cleopatra's Fortune	Altron	Midas Interactive	Unreleased	Unreleased	2003-01-01	
Click Medic	Game Freak	Sony Music Entertainment Incorporated	1999-01-28	Unreleased	Unreleased	
Clock Tower	Human Entertainment	ASCII Entertainment	1996-12-13	1998-02-01	1997-10-01	
Clock Tower: The First Fear	Human Entertainment	ASCII Entertainment	1997-07-17	Unreleased	Unreleased	
Clock Tower II: The Struggle Within	Human Entertainment	Human Entertainment, Agetec	1998-03-12	Unreleased	1999-10-31	
ClockWerx	Axes Art Amuse	Tokuma Shoten	1996-07-26	Unreleased	Unreleased	
Codename: Tenka NA|Lifeforce Tenka PAL	Psygnosis	SCEA NA|Psygnosis PAL	Unreleased	1997-07-01	1997-05-31	
Colin McRae Rally	Codemasters	Codemasters	Unreleased	1998-01-01	2000-01-31	
Colin McRae Rally 2.0	Codemasters	Codemasters	Unreleased	2000-01-01	2000-12-05	
College Slam	Iguana Entertainment	Acclaim	Unreleased	Unreleased	1996-01-01	
Colony Wars	Psygnosis	Psygnosis	Unreleased	1997-11-05	1997-10-31	
Colony Wars: Red Sun	Psygnosis	SCEE	Unreleased	2000-05-02	2000-05-02	
Colony Wars: Vengeance	Psygnosis	Psygnosis	Unreleased	1998-01-01	1998-10-31	
Combination Pro Soccer	Kuusoukagaku	Axela	1998-06-18	Unreleased	Unreleased	
Command & Conquer	Westwood Studios	Virgin Interactive	Unreleased	1996-12-01	1997-02-28	
Command & Conquer: Red Alert	Westwood Studios	Virgin Interactive|EA Games ( Platinum Re-Release)	Unreleased	1997-11-01	1997-10-31	
Command & Conquer Red Alert: Retaliation	Westwood Studios	Virgin Interactive	Unreleased	1998-09-01	1998-08-28	
Community Pom: Omoide o Dakishimete	Fill-In Cafe	Fill-In Cafe	1997-10-30	Unreleased	Unreleased	
Complete Onside Soccer	MotiveTime	Telstar PAL|Ichikawa JP	1998-01-29	1996-06-01	Unreleased	
Conquest Earth	Data Design Interactive	Eidos	Unreleased	1997-01-01	Unreleased	
Constructor	System 3	Acclaim	Unreleased	1998-01-01	Unreleased	
Contender|Victory Boxing 2 PAL|Dynamite Boxing JP	Victor Interactive Software	SCEA NA	1998-05-21	1998-10-01	1999-01-12	
Contender 2	Bam Entertainment	Bam Entertainment	Unreleased	Unreleased	2000-12-19	
Contra: Legacy of War	Appaloosa Interactive	Konami	Unreleased	1997-03-01	1996-11-30	
Conveni: Ano Machi wo Dokusen Seyo	Human Entertainment	Human Entertainment	1997-03-28	Unreleased	Unreleased	
Conveni 2: Zenkoku Chain Tenkai da!	Human Entertainment	Human Entertainment	1997-12-18	Unreleased	Unreleased	
Cool Boarders	UEP Systems	SCEE	Unreleased	1997-01-09	1996-12-31	
Cool Boarders 2	UEP Systems	SCEE	1997-08-28	1998-02-01	1997-10-31	
Cool Boarders 3	989 Studios|Idol Minds L.L.C	SCEE	Unreleased	Unreleased	1998-09-30	
Cool Boarders 4	Idol Minds L.L.C	SCEE	2000-03-09	2000-02-25	1999-11-10	
Cool Boarders 2001	Idol Minds L.L.C	SCEE	2000-10-31	Unreleased	Unreleased	
Cosmic Cookoff: Language Arts	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Cosmic Cookoff: Mathematics	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Cosmic Race	Neorex	Neorex	1995-01-20	Unreleased	Unreleased	
Cosmowarrior Zero	Taito Corporation	Taito Corporation	2000-05-18	Unreleased	Unreleased	
Cotton 100%	Success		2003-01-01	Unreleased	Unreleased	
Cotton Original	Success		1999-01-01	Unreleased	Unreleased	
Countdown Vampires	K2 LLC	Bandai	1999-12-22	Unreleased	2000-08-21	
Courier Crisis	New Level Software	GT Interactive	Unreleased	Unreleased	1997-11-30	
Covert Ops: Nuclear Dawn	Sugar & Rockets	Activision	Unreleased	Unreleased	2000-05-31	
Cowboy Bebop	Bandai	Bandai	1998-05-14	Unreleased	Unreleased	
Crash Bandicoot	Naughty Dog	SCEE PAL|SCEA US	1996-12-06	1996-11-02	1996-08-31	
Crash Bandicoot 2: Cortex Strikes Back	Naughty Dog	SCEE PAL|SCEA US	1997-12-18	1997-12-06	1997-11-01	
Crash Bandicoot 3: Warped	Naughty Dog	SCEE PAL|SCEA US	1998-12-17	1998-12-05	1998-10-10	
Crash Team Racing	Naughty Dog	SCEE PAL|SCEA US	1999-12-16	1999-10-20	1999-09-30	
Crash Bash	Eurocom	SCEE PAL|SCEA US	2000-12-14	2000-12-01	2000-11-06	
Creative Camp	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Creative Isle	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Creative Journey	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Creative Voyage	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1998-01-01	
Creatures	Creature Labs	Swing Entertainment	Unreleased	Unreleased	2002-05-18	
Creatures 3: Raised in Space	Elo Interactive	Play It	Unreleased	2003-01-30	2004-01-01	
Cricket 2000	Krisalis Software	Electronic Arts	Unreleased	2000-03-01	Unreleased	
Crime Crackers	Media.Vision	SCEI	1994-12-03	Unreleased	Unreleased	
Crime Crackers 2	Media.Vision	SCEI	1997-11-27	Unreleased	Unreleased	
Crime Killer	Pixelogic	Interplay Entertainment	Unreleased	1998-06-26	1998-06-30	
Crisis Beat	Studio 3 PAL|Bandai JP	Virgin Interactive|Play It (2003 Re-Release)	Unreleased	2000-07-31	Unreleased	
Crisis City	Takara	Takara	1998-06-04	Unreleased	Unreleased	
Critical Blow	Racdym	Banpresto	1997-12-04	Unreleased	Unreleased	
Critical Depth	SingleTrac	GT Interactive	Unreleased	1999-12-01	1997-10-31	
Criticom	Kronos Digital Entertainment	Vic Tokai	1996-10-04	1995-11-29	1996-03-01	
Croc: Legend of the Gobbos	Argonaut Games	Fox Interactive|EA Games	Unreleased	1997-01-01	1997-09-29	
Croc 2	Argonaut Games	Fox Interactive	Unreleased	1999-01-01	1999-06-30	
Crossroad Crisis	Success	A1 Games	Unreleased	Unreleased	2001-08-01	
Cross Romance: Koi to Mahjong to Hanafuda to	Nihon Bussan	Nihon Bussan	1997-03-28	Unreleased	Unreleased	
Cross Tantei Monogatari	WorkJam	WorkJam	1999-10-21	Unreleased	Unreleased	
The Crow: City of Angels	Gray Matter	Acclaim	1997-04-25	1997-04-01	1997-02-28	
Crusader: No Remorse	Realtime Associates	EA	Unreleased	1997-03-01	1996-12-31	
Crusaders of Might and Magic	The 3DO Company	The 3DO Company	Unreleased	Unreleased	2000-02-29	
Crypt Killer	Konami	Konami	1997-03-07	1997-05-01	1997-02-28	
CT Special Forces	Light and Shadow Productions	Hip Interactive	Unreleased	Unreleased	2001-01-02	
CT Special Forces	LSP	LSP	Unreleased	2002-01-01	Unreleased	
CT Special Forces: Back To Hell|Elite Squad	LSP	LSP	Unreleased	2003-10-12	Unreleased	
CT Special Forces 3: Bioterror	The Code Monkeys	LSP	Unreleased	2004-03-05	Unreleased	
Cu-On-Pa	T&E Soft	T&E Soft	1997-10-09	Unreleased	Unreleased	
Cubix Robots for Everyone: Race 'N Robots	The 3DO Company	Blitz Games	Unreleased	Unreleased	2001-11-08	
Culdcept Expansion	Media Factory	Media Factory	1999-05-01	Unreleased	Unreleased	
Culdcept Expansion Plus	Media Factory	Media Factory	2000-11-30	Unreleased	Unreleased	
Cyberbots: Full Metal Madness	OeRSTED	Capcom	1997-12-25	Unreleased	Unreleased	
Cyber Daisenryaku: Shutsugeki! Haruka-tai	Alfa System	SystemSoft	1999-02-04	Unreleased	Unreleased	
Cyberia	Xatrix	Interplay	Unreleased	1996-08-01	1996-01-01	
Cybersled	Namco	SCEE	Unreleased	1995-11-01	1995-10-18	
Cyberspeed	Mindscape	Mindscape	Unreleased	1995-12-07	1995-12-07	
CyberTiger	EA	EA	Unreleased	1999-12-03	1999-09-30	
Cyborg 009: The Block Kuzushi	Access	Bandai	2002-10-10	Unreleased	Unreleased	
D	WARP	Acclaim Entertainment	1995-12-01	Unreleased	1996-01-01	
Dai-3-Ji Super Robot Taisen	WinkySoft	Banpresto	1999-12-22	Unreleased	Unreleased	
The Dalmatians	The Code Monkeys	Midas Interactive	Unreleased	2000-09-01	Unreleased	
Dalmatians 2	Phoenix Games	Phoenix Games	Unreleased	2003-03-28	Unreleased	
Dakar '97	Elcom	Virgin Interactive	1997-04-25	Unreleased	Unreleased	
Dance! Dance! Dance!	Konami	Konami	1998-01-01	Unreleased	Unreleased	
Dance Dance Revolution	Konami	Konami	1999-04-10	Unreleased	Unreleased	
Dance Dance Revolution	Konami	Konami	Unreleased	Unreleased	2001-05-09	
Dance Dance Revolution 2ndReMix	Konami	Konami	1999-08-26	Unreleased	Unreleased	
Dance Dance Revolution 2ndReMix Append Club Version Vol.1	Konami	Konami	1999-11-25	Unreleased	Unreleased	
Dance Dance Revolution 2ndReMix Append Club Version Vol.2	Konami	Konami	1999-12-22	Unreleased	Unreleased	
Dance Dance Revolution 3rdMix	Konami	Konami	2000-06-01	Unreleased	Unreleased	
Dance Dance Revolution 4thMix	Konami	Konami	2001-03-15	Unreleased	Unreleased	
Dance Dance Revolution 5thMix	Konami	Konami	2001-09-20	Unreleased	Unreleased	
Dance Dance Revolution Best Hits	Konami	Konami	2000-12-21	Unreleased	Unreleased	
Dance Dance Revolution Disney Mix|Dance Dance Revolution Disney's Rave JP|Dancing Stage Disney Mix PAL,AUS	Konami	Konami	2001-09-17	2001-09-28	2000-11-20	
Dance Dance Revolution Extra Mix	Konami	Konami	2001-06-07	Unreleased	Unreleased	
Dance Dance Revolution Konamix	Konami	Konami	Unreleased	Unreleased	2002-04-25	
Dancing Blade Katteni Momotenshi!	Konami	TV Tokyo	2002-01-01	Unreleased	Unreleased	
Dancing Blade Katteni Momotenshi II: Tears of Eden	Konami	TV Tokyo	1999-03-18	Unreleased	Unreleased	
Dancing Stage EuroMix	Konami	Konami	Unreleased	2000-02-16	Unreleased	
Dancing Stage featuring Dreams Come True	Konami	Konami	2000-04-20	Unreleased	Unreleased	
Dancing Stage featuring True Kiss Destination	Konami	Konami	1999-12-09	Unreleased	Unreleased	
Dancing Stage Fever	Konami	Konami	Unreleased	2003-10-24	Unreleased	
Dancing Stage Fusion	Konami	Konami	Unreleased	2004-11-05	Unreleased	
Dancing Stage Party Edition	Konami	Konami	Unreleased	2002-11-15	Unreleased	
Dance: PAL	Broadsworld Interactive	Big Ben Interactive	Unreleased	2003-10-03	Unreleased	
Dance: PAL eXtra Trax	Broadsworld Interactive	Big Ben Interactive	Unreleased	2004-04-30	Unreleased	
Danger Girl	n-Space	THQ	Unreleased	2000-12-15	2000-09-06	
Dare Devil Derby 3D	Mindscape	Supersonic	1997-11-27	1996-10-01	1996-10-31	
Darius Gaiden	Nexus Interactive	Taito	1996-12-20	Unreleased	Unreleased	
Darklight Conflict	Electronic Arts	Rage Software	Unreleased	Unreleased	1997-06-30	
Darkstalkers	Capcom	Capcom (Japan & US Versions), Virgin Interactive PAL	1996-03-22	1996-11-01	1996-03-28	
